id,symbol,datetime,price
266,NVDA,2024-07-23 11:16:01,122.81
267,NVDA,2024-07-23 11:17:02,122.77
268,NVDA,2024-07-23 11:18:04,122.7
269,NVDA,2024-07-23 11:19:05,122.6
270,NVDA,2024-07-23 11:20:06,122.62
271,NVDA,2024-07-23 11:21:06,122.61
272,NVDA,2024-07-23 11:22:08,122.64
273,NVDA,2024-07-23 11:23:09,122.67
274,NVDA,2024-07-23 11:24:10,122.68
275,NVDA,2024-07-23 11:25:12,122.61
276,NVDA,2024-07-23 11:26:13,122.33
277,NVDA,2024-07-23 11:27:14,122.2
278,NVDA,2024-07-23 11:28:15,122.37
279,NVDA,2024-07-23 11:29:16,122.28
280,NVDA,2024-07-23 11:30:17,122.32
281,NVDA,2024-07-23 11:31:18,122.35
282,NVDA,2024-07-23 11:32:20,122.28
283,NVDA,2024-07-23 11:33:21,122.34
284,NVDA,2024-07-23 11:34:22,122.36
285,NVDA,2024-07-23 11:35:23,122.34
286,NVDA,2024-07-23 11:36:23,122.49
287,NVDA,2024-07-23 11:37:25,122.47
288,NVDA,2024-07-23 11:38:26,122.55
289,NVDA,2024-07-23 11:39:27,122.58
290,NVDA,2024-07-23 11:40:27,122.48
291,NVDA,2024-07-23 11:41:28,122.35
292,NVDA,2024-07-23 11:42:29,122.28
293,NVDA,2024-07-23 11:43:31,122.35
294,NVDA,2024-07-23 11:44:31,122.36
295,NVDA,2024-07-23 11:45:33,122.34
296,NVDA,2024-07-23 11:46:34,122.31
297,NVDA,2024-07-23 11:47:35,122.39
298,NVDA,2024-07-23 11:48:36,122.36
299,NVDA,2024-07-23 11:49:37,122.39
300,NVDA,2024-07-23 11:50:38,122.37
301,NVDA,2024-07-23 11:51:39,122.48
302,NVDA,2024-07-23 11:52:40,122.46
303,NVDA,2024-07-23 11:53:41,122.41
304,NVDA,2024-07-23 11:54:42,122.37
305,NVDA,2024-07-23 11:55:43,122.35
306,NVDA,2024-07-23 11:56:45,122.42
307,NVDA,2024-07-23 11:57:46,122.45
308,NVDA,2024-07-23 11:58:47,122.39
309,NVDA,2024-07-23 11:59:48,122.54
310,NVDA,2024-07-23 12:00:49,122.64
311,NVDA,2024-07-23 12:01:50,122.67
312,NVDA,2024-07-23 12:02:52,122.83
313,NVDA,2024-07-23 12:03:52,122.78
314,NVDA,2024-07-23 12:04:53,122.8
315,NVDA,2024-07-23 12:05:54,122.68
316,NVDA,2024-07-23 12:06:55,122.67
317,NVDA,2024-07-23 12:07:56,122.72
318,NVDA,2024-07-23 12:08:57,122.75
319,NVDA,2024-07-23 12:09:58,122.79
320,NVDA,2024-07-23 12:10:59,122.79
321,NVDA,2024-07-23 12:12:01,122.91
322,NVDA,2024-07-23 12:13:02,122.93
323,NVDA,2024-07-23 12:14:03,122.97
324,NVDA,2024-07-23 12:15:04,122.87
325,NVDA,2024-07-23 12:16:05,122.76
326,NVDA,2024-07-23 12:17:06,122.71
327,NVDA,2024-07-23 12:18:07,122.65
328,NVDA,2024-07-23 12:19:08,122.72
329,NVDA,2024-07-23 12:20:08,122.81
330,NVDA,2024-07-23 12:21:10,122.86
331,NVDA,2024-07-23 12:22:10,122.98
332,NVDA,2024-07-23 12:23:12,122.99
333,NVDA,2024-07-23 12:24:13,123.02
334,NVDA,2024-07-23 12:25:14,122.94
335,NVDA,2024-07-23 12:26:15,122.9
336,NVDA,2024-07-23 12:27:15,122.89
337,NVDA,2024-07-23 12:28:16,122.94
338,NVDA,2024-07-23 12:29:18,122.97
339,NVDA,2024-07-23 12:30:18,122.85
340,NVDA,2024-07-23 12:31:19,122.78
341,NVDA,2024-07-23 12:32:20,122.77
342,NVDA,2024-07-23 12:33:21,122.78
343,NVDA,2024-07-23 12:34:22,122.77
344,NVDA,2024-07-23 12:35:23,122.83
345,NVDA,2024-07-23 12:36:24,122.86
346,NVDA,2024-07-23 12:37:25,122.94
347,NVDA,2024-07-23 12:38:26,122.93
348,NVDA,2024-07-23 12:39:27,122.92
349,NVDA,2024-07-23 12:40:29,122.85
350,NVDA,2024-07-23 12:41:30,122.81
351,NVDA,2024-07-23 12:42:31,122.59
352,NVDA,2024-07-23 12:43:32,122.51
353,NVDA,2024-07-23 12:44:33,122.69
354,NVDA,2024-07-23 12:45:35,122.75
355,NVDA,2024-07-23 12:46:36,122.68
356,NVDA,2024-07-23 12:47:37,122.71
357,NVDA,2024-07-23 12:48:38,122.74
358,NVDA,2024-07-23 12:49:40,122.79
359,NVDA,2024-07-23 12:50:41,122.59
360,NVDA,2024-07-23 12:51:42,122.51
361,NVDA,2024-07-23 12:52:44,122.6
362,NVDA,2024-07-23 12:53:45,122.41
363,NVDA,2024-07-23 12:54:46,122.33
364,NVDA,2024-07-23 12:55:47,122.49
365,NVDA,2024-07-23 12:56:48,122.42
366,NVDA,2024-07-23 12:57:49,122.56
367,NVDA,2024-07-23 12:58:50,122.51
368,NVDA,2024-07-23 12:59:51,122.4
369,NVDA,2024-07-23 13:00:52,122.43
370,NVDA,2024-07-23 13:01:53,122.43
371,NVDA,2024-07-23 13:02:54,122.43
372,NVDA,2024-07-23 13:03:55,122.43
373,NVDA,2024-07-23 13:04:56,122.43
374,NVDA,2024-07-23 13:05:57,122.43
375,NVDA,2024-07-23 13:06:58,122.43
376,NVDA,2024-07-23 13:07:59,122.43
377,NVDA,2024-07-23 13:09:00,122.43
378,NVDA,2024-07-23 13:10:01,122.43
379,NVDA,2024-07-23 13:11:03,122.43
380,NVDA,2024-07-23 13:12:04,122.43
381,NVDA,2024-07-23 13:13:05,122.43
382,NVDA,2024-07-23 13:14:05,122.43
383,NVDA,2024-07-23 13:15:07,122.43
384,NVDA,2024-07-23 13:16:08,122.43
385,NVDA,2024-07-23 13:17:09,122.43
386,NVDA,2024-07-23 13:18:10,122.43
387,NVDA,2024-07-23 13:19:11,122.43
388,NVDA,2024-07-23 13:20:12,122.43
389,NVDA,2024-07-23 13:21:13,122.43
390,NVDA,2024-07-23 13:22:15,122.43
391,NVDA,2024-07-23 13:23:16,122.43
392,NVDA,2024-07-23 13:24:17,122.43
393,NVDA,2024-07-23 13:25:18,122.43
394,NVDA,2024-07-23 13:26:19,122.43
395,NVDA,2024-07-23 13:27:21,122.43
396,NVDA,2024-07-23 13:28:22,122.43
397,NVDA,2024-07-23 13:29:23,122.43
398,NVDA,2024-07-23 13:30:24,122.43
399,NVDA,2024-07-23 13:31:26,122.43
400,NVDA,2024-07-23 13:32:27,122.43
401,NVDA,2024-07-23 13:33:28,122.43
402,NVDA,2024-07-23 13:34:29,122.43
403,NVDA,2024-07-24 06:29:50,122.59
404,NVDA,2024-07-24 06:30:50,118.99
405,NVDA,2024-07-24 06:31:50,119.67
406,NVDA,2024-07-24 06:32:51,119.65
407,NVDA,2024-07-24 06:33:51,119.28
408,NVDA,2024-07-24 06:34:52,118.97
409,NVDA,2024-07-24 06:35:52,118.63
410,NVDA,2024-07-24 06:36:52,118.53
411,NVDA,2024-07-24 06:37:53,118.56
412,NVDA,2024-07-24 06:38:53,118.2
413,NVDA,2024-07-24 06:39:54,117.9
414,NVDA,2024-07-24 06:40:54,118.22
415,NVDA,2024-07-24 06:41:55,118.07
416,NVDA,2024-07-24 06:42:55,117.88
417,NVDA,2024-07-24 06:43:56,117.57
418,NVDA,2024-07-24 06:44:56,117.73
419,NVDA,2024-07-24 06:45:57,117.97
420,NVDA,2024-07-24 06:46:57,118.15
421,NVDA,2024-07-24 06:47:57,118.35
422,NVDA,2024-07-24 06:48:58,118.61
423,NVDA,2024-07-24 06:49:58,118.8
424,NVDA,2024-07-24 06:50:59,118.9
425,NVDA,2024-07-24 06:51:59,118.64
426,NVDA,2024-07-24 06:53:00,119.0
427,NVDA,2024-07-24 06:54:00,119.05
428,NVDA,2024-07-24 06:55:00,119.01
429,NVDA,2024-07-24 06:56:01,119.11
430,NVDA,2024-07-24 06:57:01,118.79
431,NVDA,2024-07-24 06:58:02,118.47
432,NVDA,2024-07-24 06:59:02,118.54
433,NVDA,2024-07-24 07:00:02,118.67
434,NVDA,2024-07-24 07:01:03,118.81
435,NVDA,2024-07-24 07:02:03,118.49
436,NVDA,2024-07-24 07:03:04,118.63
437,NVDA,2024-07-24 07:04:04,118.53
438,NVDA,2024-07-24 07:05:04,118.72
439,NVDA,2024-07-24 07:06:05,118.94
440,NVDA,2024-07-24 07:07:05,118.9
441,NVDA,2024-07-24 07:08:06,119.05
442,NVDA,2024-07-24 07:09:06,119.24
443,NVDA,2024-07-24 07:10:06,119.3
444,NVDA,2024-07-24 07:11:07,119.01
445,NVDA,2024-07-24 07:12:07,118.81
446,NVDA,2024-07-24 07:13:08,118.58
447,NVDA,2024-07-24 07:14:08,118.73
448,NVDA,2024-07-24 07:15:08,118.55
449,NVDA,2024-07-24 07:16:09,118.37
450,NVDA,2024-07-24 07:17:09,118.44
451,NVDA,2024-07-24 07:18:10,118.63
452,NVDA,2024-07-24 07:19:10,118.56
453,NVDA,2024-07-24 07:20:10,118.59
454,NVDA,2024-07-24 07:21:11,118.32
455,NVDA,2024-07-24 07:22:11,118.7
456,NVDA,2024-07-24 07:23:12,118.64
457,NVDA,2024-07-24 07:24:12,118.54
458,NVDA,2024-07-24 07:25:12,118.71
459,NVDA,2024-07-24 07:26:13,118.59
460,NVDA,2024-07-24 07:27:13,118.56
461,NVDA,2024-07-24 07:28:14,118.7
462,NVDA,2024-07-24 07:29:14,118.54
463,NVDA,2024-07-24 07:30:15,118.53
464,NVDA,2024-07-24 07:31:15,118.78
465,NVDA,2024-07-24 07:32:15,118.74
466,NVDA,2024-07-24 07:33:16,118.61
467,NVDA,2024-07-24 07:34:16,118.73
468,NVDA,2024-07-24 07:35:17,118.62
469,NVDA,2024-07-24 07:36:17,118.73
470,NVDA,2024-07-24 07:37:18,118.62
471,NVDA,2024-07-24 07:38:18,118.61
472,NVDA,2024-07-24 07:39:18,118.56
473,NVDA,2024-07-24 07:40:19,118.43
474,NVDA,2024-07-24 07:41:19,118.35
475,NVDA,2024-07-24 07:42:20,118.53
476,NVDA,2024-07-24 07:43:20,118.31
477,NVDA,2024-07-24 07:44:20,118.34
478,NVDA,2024-07-24 07:45:21,118.27
479,NVDA,2024-07-24 07:46:21,118.15
480,NVDA,2024-07-24 07:47:22,118.08
481,NVDA,2024-07-24 07:48:22,117.88
482,NVDA,2024-07-24 07:49:22,117.9
483,NVDA,2024-07-24 07:50:23,118.12
484,NVDA,2024-07-24 07:51:23,117.86
485,NVDA,2024-07-24 07:52:24,117.77
486,NVDA,2024-07-24 07:53:24,117.74
487,NVDA,2024-07-24 07:54:24,117.86
488,NVDA,2024-07-24 07:55:25,117.87
489,NVDA,2024-07-24 07:56:25,118.07
490,NVDA,2024-07-24 07:57:26,118.0
491,NVDA,2024-07-24 07:58:27,118.15
492,NVDA,2024-07-24 07:59:27,118.16
493,NVDA,2024-07-24 08:00:28,118.14
494,NVDA,2024-07-24 08:01:28,118.18
495,NVDA,2024-07-24 08:02:29,118.08
496,NVDA,2024-07-24 08:03:29,117.97
497,NVDA,2024-07-24 08:04:30,118.05
498,NVDA,2024-07-24 08:05:30,117.96
499,NVDA,2024-07-24 08:06:30,117.89
500,NVDA,2024-07-24 08:07:31,117.84
501,NVDA,2024-07-24 08:08:31,117.83
502,NVDA,2024-07-24 08:09:32,117.9
503,NVDA,2024-07-24 08:10:32,117.97
504,NVDA,2024-07-24 08:11:32,117.83
505,NVDA,2024-07-24 08:12:33,118.03
506,NVDA,2024-07-24 08:13:33,117.95
507,NVDA,2024-07-24 08:14:34,117.75
508,NVDA,2024-07-24 08:15:34,117.71
509,NVDA,2024-07-24 08:16:35,117.61
510,NVDA,2024-07-24 08:17:35,117.59
511,NVDA,2024-07-24 08:18:35,117.72
512,NVDA,2024-07-24 08:19:36,117.87
513,NVDA,2024-07-24 08:20:36,117.94
514,NVDA,2024-07-24 08:21:37,117.96
515,NVDA,2024-07-24 08:22:37,117.98
516,NVDA,2024-07-24 08:23:38,117.97
517,NVDA,2024-07-24 08:24:38,117.89
518,NVDA,2024-07-24 08:25:38,117.88
519,NVDA,2024-07-24 08:26:39,117.89
520,NVDA,2024-07-24 08:27:39,118.0
521,NVDA,2024-07-24 08:28:40,118.01
522,NVDA,2024-07-24 08:29:40,118.03
523,NVDA,2024-07-24 08:30:41,118.03
524,NVDA,2024-07-24 08:31:41,118.02
525,NVDA,2024-07-24 08:32:42,117.97
526,NVDA,2024-07-24 08:33:42,117.86
527,NVDA,2024-07-24 08:34:43,117.97
528,NVDA,2024-07-24 08:35:43,117.87
529,NVDA,2024-07-24 08:36:44,117.81
530,NVDA,2024-07-24 08:37:44,117.96
531,NVDA,2024-07-24 08:38:45,117.83
532,NVDA,2024-07-24 08:39:45,117.89
533,NVDA,2024-07-24 08:40:46,117.89
534,NVDA,2024-07-24 08:41:46,117.89
535,NVDA,2024-07-24 08:42:47,117.78
536,NVDA,2024-07-24 08:43:47,117.62
537,NVDA,2024-07-24 08:44:48,117.67
538,NVDA,2024-07-24 08:45:48,117.67
539,NVDA,2024-07-24 08:46:49,117.42
540,NVDA,2024-07-24 08:47:49,117.2
541,NVDA,2024-07-24 08:48:50,117.4
542,NVDA,2024-07-24 08:49:50,117.29
543,NVDA,2024-07-24 08:50:51,117.1
544,NVDA,2024-07-24 08:51:51,117.4
545,NVDA,2024-07-24 08:52:52,117.45
546,NVDA,2024-07-24 08:53:52,117.4
547,NVDA,2024-07-24 08:54:53,117.51
548,NVDA,2024-07-24 08:55:53,117.42
549,NVDA,2024-07-24 08:56:54,117.43
550,NVDA,2024-07-24 08:57:54,117.37
551,NVDA,2024-07-24 08:58:55,117.02
552,NVDA,2024-07-24 08:59:56,116.86
553,NVDA,2024-07-24 09:00:56,116.45
554,NVDA,2024-07-24 09:01:56,116.58
555,NVDA,2024-07-24 09:02:57,116.49
556,NVDA,2024-07-24 09:03:57,116.19
557,NVDA,2024-07-24 09:04:58,116.24
558,NVDA,2024-07-24 09:05:59,115.74
559,NVDA,2024-07-24 09:06:59,115.94
560,NVDA,2024-07-24 09:07:59,115.91
561,NVDA,2024-07-24 09:09:00,116.11
562,NVDA,2024-07-24 09:10:00,116.27
563,NVDA,2024-07-24 09:11:01,116.35
564,NVDA,2024-07-24 09:12:01,116.57
565,NVDA,2024-07-24 09:13:02,116.49
566,NVDA,2024-07-24 09:14:02,116.31
567,NVDA,2024-07-24 09:15:03,116.38
568,NVDA,2024-07-24 09:16:03,116.43
569,NVDA,2024-07-24 09:17:04,116.63
570,NVDA,2024-07-24 09:18:04,116.63
571,NVDA,2024-07-24 09:19:04,116.38
572,NVDA,2024-07-24 09:20:05,116.58
573,NVDA,2024-07-24 09:21:05,116.31
574,NVDA,2024-07-24 09:22:06,116.25
575,NVDA,2024-07-24 09:23:06,116.18
576,NVDA,2024-07-24 09:24:07,115.94
577,NVDA,2024-07-24 09:25:07,115.93
578,NVDA,2024-07-24 09:26:08,115.94
579,NVDA,2024-07-24 09:27:08,115.97
580,NVDA,2024-07-24 09:28:09,115.96
581,NVDA,2024-07-24 09:29:09,115.94
